id,victim_id,filed_at,amount_lost,narrative_text,bank_name,status
1,1,2026-08-14T08:38:51,393575.5,I was tricked into installing a remote-access app after a fake Punjab National Bank KYC update message. Rs 393575 was transferred out immediately. Bank IFSC on the receiving account appears to be PUNB05561.,Punjab National Bank,open
2,2,2026-08-26T11:34:45,372609.47,I received a call claiming to be from Axis Bank customer support and was asked to share an OTP. Rs 372609 was debited from my account without my consent. The transaction reference mentions IFSC UTIB06322.,Axis Bank,open
3,3,2026-07-07T07:03:29,146096.59,My Bank of Baroda debit card details were compromised after a phishing SMS. Rs 146096 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: BARB08317.,Bank of Baroda,open
4,4,2026-06-25T01:13:56,31672.12,An unknown person posing as a Punjab National Bank official convinced me to make a 'verification transfer' of Rs 31672. I later found the beneficiary IFSC was PUNB07669 and the number is no longer reachable.,Punjab National Bank,open
5,5,2026-06-06T14:10:23,490012.29,I was tricked into installing a remote-access app after a fake ICICI Bank KYC update message. Rs 490012 was transferred out immediately. Bank IFSC on the receiving account appears to be ICIC08819.,ICICI Bank,open
6,6,2026-08-19T00:58:51,210215.25,An unknown person posing as a Punjab National Bank official convinced me to make a 'verification transfer' of Rs 210215. I later found the beneficiary IFSC was PUNB09919 and the number is no longer reachable.,Punjab National Bank,open
7,7,2026-07-28T20:52:10,254706.1,An unknown person posing as a Axis Bank official convinced me to make a 'verification transfer' of Rs 254706. I later found the beneficiary IFSC was UTIB04822 and the number is no longer reachable.,Axis Bank,open
8,8,2026-06-30T02:00:55,299861.79,I received a call claiming to be from Axis Bank customer support and was asked to share an OTP. Rs 299861 was debited from my account without my consent. The transaction reference mentions IFSC UTIB04095.,Axis Bank,open
9,9,2026-08-02T05:50:19,27357.95,I was tricked into installing a remote-access app after a fake Axis Bank KYC update message. Rs 27357 was transferred out immediately. Bank IFSC on the receiving account appears to be UTIB02593.,Axis Bank,open
10,10,2026-06-04T03:14:43,313503.34,I was tricked into installing a remote-access app after a fake State Bank of India KYC update message. Rs 313503 was transferred out immediately. Bank IFSC on the receiving account appears to be SBIN03760.,State Bank of India,open
11,11,2026-06-03T18:02:54,394910.49,My State Bank of India debit card details were compromised after a phishing SMS. Rs 394910 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: SBIN07821.,State Bank of India,open
12,12,2026-08-07T08:09:19,446798.98,I received a call claiming to be from Axis Bank customer support and was asked to share an OTP. Rs 446798 was debited from my account without my consent. The transaction reference mentions IFSC UTIB05117.,Axis Bank,open
13,13,2026-08-18T12:43:51,72263.94,An unknown person posing as a State Bank of India official convinced me to make a 'verification transfer' of Rs 72263. I later found the beneficiary IFSC was SBIN05657 and the number is no longer reachable.,State Bank of India,open
14,14,2026-07-29T17:15:52,306078.87,I was tricked into installing a remote-access app after a fake Axis Bank KYC update message. Rs 306078 was transferred out immediately. Bank IFSC on the receiving account appears to be UTIB05916.,Axis Bank,open
15,15,2026-07-27T02:44:36,299784.57,My HDFC Bank debit card details were compromised after a phishing SMS. Rs 299784 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: HDFC05365.,HDFC Bank,open
16,16,2026-06-29T15:40:23,327842.48,I received a call claiming to be from Punjab National Bank customer support and was asked to share an OTP. Rs 327842 was debited from my account without my consent. The transaction reference mentions IFSC PUNB07763.,Punjab National Bank,open
17,17,2026-07-30T02:47:42,497193.33,My Axis Bank debit card details were compromised after a phishing SMS. Rs 497193 was withdrawn/transferred without authorization. Reference IFSC noted on the statement: UTIB08481.,Axis Bank,open
18,18,2026-07-23T05:01:00,230964.2,An unknown person posing as a State Bank of India official convinced me to make a 'verification transfer' of Rs 230964. I later found the beneficiary IFSC was SBIN07246 and the number is no longer reachable.,State Bank of India,open
19,19,2026-06-17T17:43:36,260955.15,I received a call claiming to be from State Bank of India customer support and was asked to share an OTP. Rs 260955 was debited from my account without my consent. The transaction reference mentions IFSC SBIN08987.,State Bank of India,open
20,20,2026-07-10T16:15:55,433845.51,An unknown person posing as a State Bank of India official convinced me to make a 'verification transfer' of Rs 433845. I later found the beneficiary IFSC was SBIN00066 and the number is no longer reachable.,State Bank of India,open
21,21,2026-07-06T18:08:03,387637.76,I received a call claiming to be from Punjab National Bank customer support and was asked to share an OTP. Rs 387637 was debited from my account without my consent. The transaction reference mentions IFSC PUNB07879.,Punjab National Bank,open
